,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Result
0,36,7,12,0,1,0,0,2,7,0,4,2,2,14,0
1,39,5,9,2,3,0,0,2,4,0,1,5,3,12,0
2,28,3,6,1,2,0,0,5,9,0,2,4,1,7,1
3,22,1,5,0,1,3,4,1,3,0,0,6,0,5,0
4,31,4,8,1,2,0,2,4,6,0,0,4,5,9,0
5,30,2,8,1,2,3,4,2,5,0,1,1,2,8,1
6,21,3,7,0,2,0,0,1,4,0,1,2,3,6,0
7,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1
8,26,6,9,2,2,0,0,4,2,1,2,5,1,14,0
9,41,6,10,2,6,0,1,5,7,0,0,2,3,14,0
10,35,4,10,1,4,4,4,0,7,0,4,3,6,13,0
11,46,3,9,2,3,4,5,6,8,1,1,6,1,12,1
12,35,6,12,2,4,4,4,4,6,0,3,5,4,18,1
13,34,5,16,1,4,0,0,7,5,2,1,3,6,11,0
14,36,5,15,1,5,2,2,4,8,0,0,0,1,13,0
15,20,2,5,1,2,2,2,2,4,0,3,2,2,7,1
16,41,4,14,2,6,0,0,4,6,2,2,2,1,10,0
17,32,4,8,1,3,2,2,5,2,1,2,3,4,11,0
18,46,6,12,0,2,1,1,3,3,0,1,4,3,13,0
19,36,9,14,2,4,2,2,4,2,0,4,5,5,22,0
20,30,6,13,1,4,1,2,4,4,0,3,4,4,14,1
21,27,3,9,0,3,0,0,3,1,0,1,0,0,6,0
22,38,5,10,3,4,6,6,2,4,1,4,4,4,19,0
23,36,5,13,1,4,3,4,4,4,1,4,5,4,14,0
24,25,4,11,0,2,0,0,4,3,0,4,5,1,8,0
25,46,9,17,5,9,4,4,8,4,0,3,4,2,27,0
26,41,6,15,2,6,0,0,7,8,0,0,2,4,14,0
27,47,6,13,3,5,2,2,10,7,0,2,5,2,17,0
28,27,4,10,3,4,2,2,3,4,0,3,4,1,13,1
29,11,0,4,0,1,0,1,2,0,0,1,3,1,0,1
30,23,6,10,0,1,3,3,3,3,0,0,3,4,15,0
31,29,4,10,1,2,0,0,1,1,0,1,4,3,9,0
32,40,10,13,6,6,0,0,5,6,0,3,3,2,26,0
33,30,7,11,0,2,2,2,1,4,0,2,6,1,16,1
34,34,5,10,1,2,1,2,3,4,0,1,3,2,12,1
35,36,8,15,1,2,4,5,7,5,1,1,4,2,21,0
36,33,3,10,3,5,0,0,4,4,0,0,1,4,9,0
37,48,7,17,1,4,3,3,6,4,1,6,6,4,18,0
38,43,9,18,5,8,3,3,10,6,1,1,4,5,26,1
39,49,6,17,3,8,0,0,3,6,0,1,2,3,15,0
40,48,11,21,3,7,7,8,2,7,0,4,4,2,32,1
41,40,10,25,4,9,1,1,5,2,0,0,4,1,25,0
42,45,10,22,3,10,4,5,9,6,0,3,3,1,27,0
43,41,7,13,1,3,0,0,5,8,0,3,4,5,15,0
44,41,8,15,2,4,4,4,1,9,0,3,3,1,22,0
45,36,4,10,2,2,4,4,4,5,0,1,2,5,14,0
46,30,6,18,2,5,0,0,2,4,0,1,1,0,14,0
47,27,1,6,0,2,4,4,0,3,0,0,2,3,6,0
48,27,9,15,3,7,2,3,1,4,0,2,3,3,23,0
49,48,9,20,1,5,6,6,2,9,0,2,4,3,25,0
50,46,11,22,7,11,7,8,10,13,0,3,4,6,36,1
51,44,5,21,1,10,0,0,10,8,0,1,5,4,11,0
52,40,10,15,1,4,3,3,6,15,0,3,2,3,24,1
53,39,4,9,3,6,2,2,6,7,0,3,1,10,13,0
54,45,13,18,1,3,5,5,9,3,0,1,3,5,32,1
55,38,8,22,1,8,0,1,6,5,0,0,2,2,17,0
56,42,11,19,2,5,6,6,7,13,1,2,1,2,30,0
57,48,11,25,3,6,2,3,5,4,0,1,4,5,27,1
58,43,7,17,3,8,1,1,2,8,0,2,5,3,18,0
59,32,3,12,1,2,2,2,3,7,0,2,2,5,9,0
60,48,11,19,5,9,4,4,5,11,0,2,1,7,31,0
61,48,8,23,4,8,5,6,5,4,0,0,1,3,25,0
62,34,5,13,2,4,0,0,3,6,0,1,2,4,12,0
63,33,6,15,2,7,1,1,5,3,0,2,5,4,15,0
64,42,13,21,5,8,4,4,6,10,1,4,1,2,35,1
65,34,11,19,5,9,2,2,5,9,0,1,4,0,29,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,25,4,10,1,3,0,0,4,6,1,0,2,2,9,0
69,34,6,15,2,5,0,0,4,8,0,4,4,1,14,0
70,40,12,19,4,6,2,2,5,11,0,4,3,7,30,1
71,37,6,16,3,5,2,2,7,6,0,2,1,7,17,0
72,40,8,15,2,2,0,0,4,7,0,1,5,3,18,1
73,34,6,16,1,4,2,3,2,6,0,0,5,4,15,0
74,29,7,21,1,5,0,0,4,10,0,1,1,2,15,1
75,44,10,23,5,11,4,6,8,12,2,3,4,5,29,1
76,33,10,21,3,6,4,4,1,4,0,2,2,2,27,0
77,44,12,22,3,5,0,0,8,14,0,7,4,4,27,1
78,41,10,19,5,10,4,4,9,4,0,3,5,3,29,0
79,35,9,16,3,6,4,6,7,7,0,1,2,5,25,1
80,41,5,15,1,4,6,6,5,6,0,2,4,2,17,0
81,48,13,25,4,6,12,12,9,8,1,2,0,2,42,1
82,39,9,16,3,6,4,4,2,11,1,0,4,5,25,1
83,27,7,9,1,3,1,3,2,6,0,2,2,2,16,1
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
